,country_id,country,year,main_mean,actuals_last_12months
125,163,South Africa,2026,0.1887,0.0
126,86,Macedonia,2026,0.1855,0.0
127,31,El Salvador,2026,0.1811,0.0
128,46,Spain,2026,0.1766,0.0
129,39,United Kingdom,2026,0.1717,0.0
130,121,Sri Lanka,2026,0.16570000000000001,0.0
131,83,Bosnia and Herzegovina,2026,0.1613,0.0
132,232,Kosovo,2026,0.1557,0.0
133,231,Montenegro,2026,0.1471,0.0
134,27,Belize,2026,0.1235,0.0
135,115,Moldova,2026,0.1207,0.0
136,184,Germany,2026,0.1182,0.0
137,53,Sierra Leone,2026,0.113,0.0
138,98,Czech Republic,2026,0.1081,0.0
139,170,Namibia,2026,0.1062,0.0
140,43,Liberia,2026,0.1062,0.0
141,233,Serbia,2026,0.1057,0.0
142,113,Latvia,2026,0.104,0.0
